dataset,method,n_images,psnr_mean,psnr_std,ssim_mean,ssim_std,rmse_mean,rmse_std
LC25000,Macenko Normalization,14999,17.388032959465313,3.1751085815415454,0.8782616403953738,0.06298240139583997,36.424592434373814,11.229809532809139
CRC5000,Macenko Normalization,4971,20.70980242658143,9.70482640383402,0.8622595679213958,0.1079299067176694,31.554200067033655,17.04995151739521
