dataset,image,psnr_db,ssim,rmse
LC25000,lungaca322.jpeg,14.592383092032598,0.8430636217244695,47.5248796590251
LC25000,lungaca499.jpeg,16.83659256361865,0.8569965960983414,36.70375964542589
LC25000,lungaca134.jpeg,16.46612738559434,0.8598775342641117,38.30309001932341
LC25000,lungaca119.jpeg,14.275707317487374,0.8237771587034194,49.289545616389404
LC25000,lungaca17.jpeg,14.854698791894084,0.8351806784421232,46.1110743286313
LC25000,lungaca345.jpeg,16.596501730905494,0.9039545912707103,37.73245770322455
LC25000,lungaca179.jpeg,15.140654036959575,0.6768957833705601,44.61773077240066
LC25000,lungaca439.jpeg,15.62217947266255,0.8974454904445723,42.211540974774
LC25000,lungaca130.jpeg,16.185033127851163,0.8587592770176107,39.56293696088038
LC25000,lungaca263.jpeg,16.87523331136206,0.8860213686785752,36.540839005727726
LC25000,lungaca110.jpeg,16.329936702280413,0.9054175619820689,38.908397608364616
LC25000,lungaca318.jpeg,16.67837629127852,0.8913266417445934,37.37845668450837
LC25000,lungaca209.jpeg,14.634988783007753,0.8742806022615159,47.29233325669582
LC25000,lungaca316.jpeg,16.687849698153762,0.83871676305899,37.33771148622881
LC25000,lungaca496.jpeg,14.536218785497868,0.7454239707983122,47.833178565365316
LC25000,lungaca342.jpeg,16.263715441474492,0.8807573194122922,39.20616906598251
LC25000,lungaca160.jpeg,14.60656316040049,0.8456080669364757,47.44735665556746
LC25000,lungaca464.jpeg,16.43888244077669,0.9385661014307792,38.42342357190236
LC25000,lungaca452.jpeg,16.83985945717648,0.8678303790483701,36.68995740589807
LC25000,lungaca225.jpeg,16.725081481681105,0.8669009396488354,37.1780071282126
LC25000,lungaca226.jpeg,16.539222775540164,0.8719821014604633,37.9821060167618
LC25000,lungaca488.jpeg,17.27717149144535,0.8546694296646283,34.888444418482095
LC25000,lungaca328.jpeg,14.873019013564397,0.8972314818982007,46.01391964697828
LC25000,lungaca5.jpeg,16.993865603050033,0.9065118657380328,36.045155239139284
LC25000,lungaca324.jpeg,16.563980788231014,0.886479809021545,37.87399705100504
LC25000,lungaca242.jpeg,15.413391989011735,0.8297088046675523,43.238496185165836
LC25000,lungaca492.jpeg,16.683655444797218,0.8597207320103343,37.35574552129789
LC25000,lungaca229.jpeg,16.728163436210117,0.9058621274378694,37.164817851506974
LC25000,lungaca247.jpeg,15.493494744748421,0.9005804495252048,42.8415764423403
LC25000,lungaca109.jpeg,15.98605940688783,0.9244651001455034,40.47969299592013
LC25000,lungaca55.jpeg,15.380598776766508,0.9056855530231829,43.40204986585787
LC25000,lungaca241.jpeg,14.065652902648694,0.7932893680298053,50.496064892029736
LC25000,lungaca288.jpeg,14.776852418033279,0.8906962318227908,46.52619746065965
LC25000,lungaca48.jpeg,16.743014785900755,0.9341631194295195,37.101326818238185
LC25000,lungaca302.jpeg,18.843682449470382,0.9409763771308047,29.131044589181478
LC25000,lungaca402.jpeg,17.009706838606935,0.8780949387433094,35.979476368782436
LC25000,lungaca254.jpeg,16.055588898463075,0.8885422944771735,40.15695144693779
LC25000,lungaca475.jpeg,16.446879477210004,0.8491730944938682,38.38806368107576
LC25000,lungaca67.jpeg,15.813293584095952,0.8875176604059675,41.292911104041686
LC25000,lungaca426.jpeg,16.55808102585128,0.8192733212028748,37.89973114344775
LC25000,lungaca33.jpeg,14.324867376720343,0.8967751910415549,49.011366525639495
LC25000,lungaca371.jpeg,16.501236189185615,0.8599966759489147,38.14857947946896
LC25000,lungaca442.jpeg,16.917131338211306,0.8707335333712957,36.365001809978246
LC25000,lungaca162.jpeg,16.759816217834288,0.8999630856893855,37.029629739164434
LC25000,lungaca29.jpeg,16.431038326231306,0.8867395524634735,38.4581389417106
LC25000,lungaca107.jpeg,16.992858094740498,0.9081304108553371,36.04933649186271
LC25000,lungaca400.jpeg,19.026404410085163,0.8974435381482743,28.524626068607407
LC25000,lungaca47.jpeg,15.256885719800529,0.8131626509264455,44.02464822315766
LC25000,lungaca222.jpeg,15.825542853227152,0.8575258531026474,41.23471885059054
LC25000,lungaca399.jpeg,14.034065621826265,0.7458407427955698,50.680034206965054
LC25000,lungaca270.jpeg,16.535658858090304,0.8564954379478142,37.9976936964077
LC25000,lungaca131.jpeg,16.252884444369496,0.8733714447657038,39.255088265759944
LC25000,lungaca191.jpeg,15.389421619180217,0.8399769537392402,43.35798586728309
LC25000,lungaca23.jpeg,17.51446040993313,0.8829234270965998,33.948231881372784
